% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
7.39	1	0	30	287.564	0
7.681	1	0	1	449.456	0
7.682	1	0	2	5319.38	0
7.683	1	0	3	333.613	0
7.684	1	0	4	637.628	0
7.685	1	0	5	314.21	0
7.686	1	0	6	1311.18	0
7.687	1	0	7	431.565	0
7.688	1	0	8	442.126	0
7.689	1	0	9	510.741	0
7.69	1	0	10	310.74	0
7.691	1	0	11	437.454	0
7.692	1	0	12	4324.87	0
7.693	1	0	13	393.183	0
7.694	1	0	14	5325.02	0
7.695	1	0	15	602.506	0
7.696	1	0	16	333.861	0
7.697	1	0	17	384.763	0
7.698	1	0	18	481.201	0
7.699	1	0	19	1152.82	0
7.7	1	0	20	484.654	0
7.701	1	0	21	2414.47	0
7.702	1	0	22	440.229	0
7.703	1	0	23	410.331	0
7.704	1	0	24	275.405	0
7.705	1	0	25	1062.33	0
7.706	1	0	26	651.725	0
7.707	1	0	27	781.011	0
7.708	1	0	28	452.392	0
7.709	1	0	29	1010.13	0
7.71	1	0	30	286.679	0
8.001	1	0	1	450.408	0
8.002	1	0	2	5319.69	0
8.003	1	0	3	334.483	0
8.004	1	0	4	632.275	0
8.005	1	0	5	315.001	0
8.006	1	0	6	1311.03	0
8.007	1	0	7	434.709	0
8.008	1	0	8	439.125	0
8.009	1	0	9	510.741	0
8.01	1	0	10	310.761	0
8.011	1	0	11	437.56	0
8.012	1	0	12	4324.87	0
8.013	1	0	13	393.544	0
8.014	1	0	14	5325.02	0
8.015	1	0	15	602.506	0
8.016	1	0	16	333.861	0
8.017	1	0	17	385.361	0
8.018	1	0	18	481.201	0
8.019	1	0	19	1148.04	0
8.02	1	0	20	484.654	0
8.021	1	0	21	2411.15	0
8.022	1	0	22	440.038	0
8.023	1	0	23	410.331	0
8.024	1	0	24	275.405	0
8.025	1	0	25	1062.33	0
8.026	1	0	26	651.725	0
8.027	1	0	27	782.711	0
8.028	1	0	28	451.035	0
8.029	1	0	29	1010	0
8.03	1	0	30	285.798	0
8.321	1	0	1	454.272	0
8.322	1	0	2	5319.98	0
8.323	1	0	3	335.352	0
8.324	1	0	4	622.78	0
8.325	1	0	5	315.787	0
8.326	1	0	6	1310.88	0
8.327	1	0	7	437.883	0
8.328	1	0	8	436.123	0
8.329	1	0	9	510.741	0
8.33	1	0	10	310.78	0
8.331	1	0	11	437.665	0
8.332	1	0	12	4324.87	0
8.333	1	0	13	393.906	0
8.334	1	0	14	5325.02	0
8.335	1	0	15	602.506	0
8.336	1	0	16	333.861	0
8.337	1	0	17	385.96	0
8.338	1	0	18	481.201	0
8.339	1	0	19	1143.29	0
8.34	1	0	20	484.654	0
8.341	1	0	21	2407.78	0
8.342	1	0	22	439.847	0
8.343	1	0	23	410.331	0
8.344	1	0	24	275.405	0
8.345	1	0	25	1062.33	0
8.346	1	0	26	651.725	0
8.347	1	0	27	784.396	0
8.348	1	0	28	449.684	0
8.349	1	0	29	1009.87	0
8.35	1	0	30	286.385	0
8.641	1	0	1	458.178	0
8.642	1	0	2	5320.25	0
8.643	1	0	3	336.22	0
8.644	1	0	4	613.476	0
8.645	1	0	5	316.568	0
8.646	1	0	6	1310.72	0
8.647	1	0	7	441.089	0
8.648	1	0	8	433.121	0
8.649	1	0	9	510.741	0
8.65	1	0	10	310.797	0
8.651	1	0	11	437.771	0
8.652	1	0	12	4324.87	0
8.653	1	0	13	394.268	0
8.654	1	0	14	5325.02	0
8.655	1	0	15	602.506	0
8.656	1	0	16	333.861	0
8.657	1	0	17	386.561	0
8.658	1	0	18	481.201	0
8.659	1	0	19	1138.57	0
8.66	1	0	20	484.654	0
8.661	1	0	21	2404.37	0
8.662	1	0	22	439.655	0
8.663	1	0	23	410.331	0
8.664	1	0	24	275.405	0
8.665	1	0	25	1062.33	0
8.666	1	0	26	651.725	0
8.667	1	0	27	786.067	0
8.668	1	0	28	448.338	0
8.669	1	0	29	1009.73	0
8.67	1	0	30	288.275	0
8.961	1	0	1	462.127	0
8.962	1	0	2	5320.49	0
8.963	1	0	3	337.087	0
8.964	1	0	4	604.358	0
8.965	1	0	5	317.345	0
8.966	1	0	6	1310.57	0
8.967	1	0	7	444.321	0
8.968	1	0	8	430.12	0
8.969	1	0	9	510.741	0
8.97	1	0	10	310.811	0
8.971	1	0	11	437.877	0
8.972	1	0	12	4324.87	0
8.973	1	0	13	394.63	0
8.974	1	0	14	5325.03	0
8.975	1	0	15	602.506	0
8.976	1	0	16	333.861	0
8.977	1	0	17	387.162	0
8.978	1	0	18	481.201	0
8.979	1	0	19	1133.88	0
8.98	1	0	20	484.654	0
8.981	1	0	21	2400.9	0
8.982	1	0	22	439.463	0
8.983	1	0	23	410.331	0
8.984	1	0	24	275.405	0
8.985	1	0	25	1062.33	0
8.986	1	0	26	651.725	0
8.987	1	0	27	787.723	0
8.988	1	0	28	446.998	0
8.989	1	0	29	1009.6	0
8.99	1	0	30	290.18	0
9.281	1	0	1	466.118	0
9.282	1	0	2	5320.71	0
9.283	1	0	3	337.953	0
9.284	1	0	4	595.421	0
9.285	1	0	5	318.117	0
9.286	1	0	6	1310.41	0
